1-8	Acyclovir
55896-5	Hypoxanthine phosphoribosyltransferase; Chorionic Villus Sample
5589-7	Barium
55897-3	Immunoglobulin light chains free
55898-1	Immunoglobulin light chains free
55899-9	Immunoglobulin light chains free; Urine
55900-5	Immunoglobulin light chains free; Urine
55901-3	IgA monoclonal
55902-1	IgA
55903-9	IgD monoclonal
55904-7	IgE monoclonal
5590-5	Barium; Urine
55905-4	Alpha cortol; Urine
55906-2	Alpha cortolone; Urine
55907-0	Alpha cortolone; Urine
55908-8	Alpha galactosidase; Blood Filter Paper
55909-6	Alpha-L-iduronidase; Blood Filter Paper
55910-4	Alpha mannosidase; Blood Filter Paper
55911-2	Arginine; Hair
55912-0	Arylsulfatase; Blood Filter Paper
5591-3	Benzene
55913-8	Aspartate; Hair
55914-6	Beta 1 globulin; CSF
55915-3	Beta 2 globulin; CSF
55916-1	Beta galactosidase; Blood Filter Paper
55917-9	Beta glucosidase; Blood Filter Paper
55918-7	C peptide post meal
55919-5	C peptide post meal
55920-3	C peptide; Urine
5592-1	Benzene
55921-1	IgG monoclonal
55922-9	IgG
55923-7	IgG; Urine
55924-5	IgM monoclonal
55925-2	IgM
55926-0	Interleukin 1 receptor alpha
55927-8	Interleukin 1 receptor alpha soluble
55928-6	Iodine/Creatinine; Urine
55929-4	Isoleucine; Hair
55930-2	Isovalerylglycine; Plasma
55931-0	Lactate; Dialysis Fluid
55932-8	Lactate; Blood cord
55933-6	Leucine; Hair
55934-4	Triacylglycerol lipase; Dialysis Fluid
55935-1	Lysine; Hair
55936-9	Lysozyme; CSF
55937-7	Magnesium post dialysis
55938-5	Magnesium; TPN
5593-9	Beryllium
55939-3	Malondialdehyde; RBC
55940-1	Malonylcarnitine (C3-DC)
55941-9	Mannitol; Urine
55942-7	Methemoglobin/Hemoglobin total; Blood cord
55943-5	Methionine; Hair
55944-3	Neopterin; Urine
55945-0	Neopterin; Urine
55946-8	Neopterin; Urine
5594-7	Beryllium
55947-6	Nitrite; Dialysis Fluid
55948-4	Nitrite
55949-2	Dicarboxystearoylcarnitine (C18-DC)
559-5	Chlamydia species
55950-0	Octanoylcarnitine (C8); Urine
55951-8	Octenoylcarnitine (C8:1)/Creatinine; Urine
55952-6	Octenoylcarnitine (C8:1); CSF
55953-4	Octenoylcarnitine (C8:1); Amniotic Fluid
5595-4	Beryllium; Urine
55954-2	Octenoylcarnitine (C8:1); Urine
55955-9	Oleoylcarnitine (C18:1)/Creatinine; Urine
55956-7	Oleoylcarnitine (C18:1); CSF
55957-5	Oleoylcarnitine (C18:1); Amniotic Fluid
55958-3	Oleoylcarnitine (C18:1); Urine
55959-1	Ornithine/Amino acids total
55960-9	Osmolality; Dialysis Fluid
5596-2	Beryllium; 24h Urine
55962-5	Oxygen content; Blood cord
55963-3	Palmitoleylcarnitine (C16:1)/Creatinine; Urine
55964-1	Palmitoleylcarnitine (C16:1); CSF
55965-8	Palmitoleylcarnitine (C16:1); Amniotic Fluid
55966-6	Palmitoleylcarnitine (C16:1); Urine
55967-4	Palmitoylcarnitine (C16); Urine
55968-2	pH; TPN
55969-0	Phenylalanine/Amino acids total; Blood Filter Paper
5597-0	Bismuth
55970-8	Phenylalanine; Hair
55971-6	Alkaline phosphatase; Blood cord
55972-4	Phosphate post dialysis
55973-2	Phosphate; Periton Fluid
55974-0	IgG
55975-7	IgG; Body Fluid
5598-8	Bismuth; Urine
5599-6	Boldenone; Urine
5600-2	Boldenone; Urine
56002-9	Platelet aggregation adenosine diphosphate induced ATP secretion 5 um; Blood
56003-7	Platelet aggregation adenosine diphosphate induced ATP secretion 10 um; Blood
56004-5	Platelet aggregation adenosine diphosphate induced ATP secretion 5 um; Blood
56005-2	Platelet aggregation adenosine diphosphate induced 5 um; Blood
56006-0	Platelet aggregation adenosine diphosphate induced 10 um; Blood
56007-8	Platelet aggregation arachidonate induced 500 um; Blood
56008-6	Platelet aggregation collagen induced 1 ug/mL; Blood
56009-4	Platelet aggregation collagen induced 5 ug/mL; Blood
5601-0	Boldenone; 24h Urine
56010-2	Platelet aggregation ristocetin induced 250 ug/mL; Blood
56011-0	Platelet aggregation adenosine diphosphate induced ATP secretion 10 um; Blood
56012-8	Platelet aggregation arachidonate induced ATP secretion 500 um; Blood
56013-6	Platelet aggregation arachidonate induced ATP secretion 500 um; Blood
56014-4	Platelet aggregation collagen induced ATP secretion 5 ug/mL; Blood
56015-1	Platelet aggregation collagen induced ATP secretion 1 ug/mL; Blood
56016-9	Platelet aggregation collagen induced ATP secretion 1 ug/mL; Blood
56017-7	Platelet aggregation collagen induced ATP secretion 5 ug/mL; Blood
56018-5	Platelet aggregation thrombin induced ATP secretion 5 U/mL; Blood
56019-3	Platelet aggregation thrombin induced ATP secretion 1 U/mL; Blood
56020-1	Platelet aggregation thrombin induced ATP secretion 5 U/mL; Blood
56021-9	Platelet aggregation thrombin induced ATP secretion 1 U/mL; Blood
56022-7	ACE gene mutation analysis; Blood/Tissue
56023-5	Foot and mouth disease virus RNA
56024-3	Influenza virus A N1 RNA
56025-0	Ethambutol 8.0 ug/mL
56026-8	Pyrazinamide 300.0 ug/mL
56027-6	Platelet aggregation ristocetin induced 1.0 mg/mL; Blood
5602-8	Borate
56028-4	Cells CD3-CD56+/100 cells; Bone marrow
56029-2	Cells CD3-CD56+/100 cells; Body Fluid
560-3	Chlamydia species
56030-0	Karyotype; Urine
56031-8	Doripenem
56032-6	Lithium; Gast Fluid
56033-4	Androstenediol; Urine
56034-2	Hydroxylysine; Body Fluid
56035-9	Apolipoprotein A-I/Cholesterol in HDL
5603-6	Borate; 24h Urine
56036-7	Apolipoprotein B/Cholesterol in LDL
56037-5	Protein phosphatase 3; WBC
56038-3	Lysozyme; Urine
56039-1	Lysozyme; Urine
56040-9	Methemoglobin; Blood
56041-7	Beta defensin; Stool wet
56042-5	Beta defensin; Stool dried
5604-4	Boron; Blood
5605-1	Boron; Fluid
5606-9	Boron; RBC
5607-7	Boron
5608-5	Bufotenine; Urine
5609-3	Cadmium; Blood
5610-1	Cadmium; Hair
561-1	Chlamydia species antigen
5611-9	Cadmium; Urine
56119-1	Cellular material; Calculus
56120-9	Amphetamine+Methamphetamine; urine
56121-7	IgA; Urine
56122-5	IgG; Blood cord
56123-3	IgM; Urine
56124-1	Glucose 1h post meal; Urine
56125-8	Immunoglobulin light chains free
56126-6	Copper; Liver
5612-7	Cadmium; 24h Urine
56127-4	CD38 antigen; Tissue
56128-2	Chikungunya virus antibody IgG
56129-0	Chikungunya virus antibody IgG
56130-8	Chikungunya virus antibody IgM
56131-6	Chikungunya virus antibody IgM
56132-4	Cholesterol in HDL 2a
56133-2	Cholesterol in HDL 2b
56134-0	Cholesterol in IDL 1
56135-7	Cholesterol in IDL 2
56136-5	Cholesterol in LDL 1
56137-3	Cholesterol in LDL 2
56138-1	Cholesterol in LDL 3
56139-9	Cholesterol in LDL 4
56140-7	Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA
56141-5	MPL gene p S505N mutation analysis; Blood/Tissue
56142-3	MPL gene p W515L+W515K mutation analysis; Blood/Tissue
5614-3	Cesium; Blood
56143-1	Potassium/Creatinine; Urine
56144-9	CHIC2 gene 4q12 deletion; Blood/Tissue
56145-6	Erythrocytes+Granulocytes CD55+CD59 deficient; Blood
56147-2	Parietal cell antibody
5615-0	Cesium; Hair
56150-6	Candida albicans antibody IgM
56151-4	Candida albicans antibody IgA
56153-0	Albumin.Serumum/Albumin.Periton Fluid; Serum+Body Fluid
56154-8	Protein abnormal band/Protein total
56157-1	HOXB13 gene/IL17BR gene; Tissue
56158-9	PCSK9 gene mutation analysis; Blood/Tissue
56159-7	LDLR gene mutation analysis; Blood/Tissue
56160-5	Glucose 4H post peritoneal dialysis; Dialysisysis Fluid, Peritonial
56161-3	Calculus analysis with calculus photography; Calculus
56164-7	CYP2C9 gene allele 2; Blood
56165-4	CYP2C9 gene allele 3; Blood
56166-2	Gum arabic IgG4
56167-0	Corticotropin IgG4
5616-8	Cesium
56168-8	Pimenta dioica IgG4
56169-6	Prunus dulcis IgG4
56170-4	Alternaria alternata IgG4
56171-2	Fagus grandifolia IgG4
56172-0	Cheese American IgG4
56173-8	Periplaneta americana IgG4
56174-6	Ulmus americana IgG4
56175-3	Platanus occidentalis IgG4
5617-6	Cesium; RBC
56176-1	Malus sylvestris IgG4
56177-9	Prunus armeniaca IgG4
56178-7	Cynara scolymus IgG4
56179-5	Asparagus officinalis IgG4
56180-3	Aspergillus fumigatus IgG4
56181-1	Aspergillus niger IgG4
56182-9	Aspergillus versicolor IgG4
56183-7	Casuarina equisetifolia IgG4
5618-4	Cesium; Urine
56184-5	Persea americana IgG4
56185-2	Paspalum notatum IgG4
56186-0	Musa subspecies IgG4
56187-8	Hordeum vulgare IgG4
56188-6	Ocimum basilicum IgG4
56189-4	Laurus nobilis IgG4
56190-2	Cynodon dactylon IgG4
56191-0	Prunus avium IgG4
5619-2	Chromium; Blood
56192-8	Micropterus salmoides IgG4
56193-6	Salix nigra IgG4
56194-4	Rubus fruticosus IgG4
56195-1	Vigna sinensis IgG4
56196-9	Vaccinium myrtillus IgG4
56197-7	Insulin bovine IgG4
56198-5	Bertholletia excelsa IgG4
56199-3	Yeast brewers IgG4
56-2	Capreomycin
5620-0	Chromium; Hair
56200-9	Brassica oleracea var italica IgG4
56201-7	Brassica oleracea var gemmifera IgG4
56202-5	Fagopyrum esculentum IgG4
56203-3	Brassica oleracea var capitata IgG4
56204-1	Candida albicans IgG4
56205-8	Amaranthus palmeri IgG4
56206-6	Daucus carota IgG4
56207-4	Casein IgG4
56208-2	Anacardium occidentale IgG4
56209-0	Ricinus communis IgG4
56210-8	Cat dander IgG4
56211-6	Ictalurus punctatus IgG4
56212-4	Brassica oleracea var botrytis IgG4
56213-2	Apium graveolens IgG4
56214-0	Acremonium sp IgG4
56215-7	Cheese cheddar type IgG4
56216-5	Cheese mold type IgG4
56217-3	Cicer arietinus IgG4
5621-8	Chromium; RBC
56218-1	Chicken IgG4
56219-9	Cichorium intybus IgG4
56220-7	Capsicum frutescens IgG4
56221-5	Ulmus pumila IgG4
56222-3	Chocolate IgG4
56223-1	Cinnamomum subspecies IgG4
56224-9	Cladosporium herbarum IgG4
56225-6	Ruditapes subspecies IgG4
5622-6	Chromium
56226-4	Xanthium commune IgG4
56227-2	Cocos nucifera IgG4
56228-0	Gadus morhua IgG4
56229-8	Coffea subspecies IgG4
56230-6	Phragmites communis IgG4
56231-4	Zea mays IgG4
56232-2	Ustilago maydis IgG4
56233-0	Populus deltoides IgG4
5623-4	Chromium; Urine
56234-8	Cow milk IgG4
56235-5	Cancer pagurus IgG4
56236-3	Vaccinium oxycoccos IgG4
56237-1	Astacus astacus IgG4
56238-9	Cucumis sativus IgG4
56239-7	Curry IgG4
56240-5	Loligo species IgG4
56241-3	Dermatophagoides farinae IgG4
5624-2	Chromium; 24h Urine
56242-1	Dermatophagoides pteronyssinus IgG4
56243-9	Taraxacum vulgare IgG4
56244-7	Phoenix dactylifera IgG4
56245-4	Chrysops flavidus (whole body) IgG4
56246-2	Anethum graveolens IgG4
56247-0	Dog epithelium IgG4
56248-8	Dog dander IgG4
56249-6	Pseudotsuga taxifolia IgG4
56250-4	Duck feather IgG4
56251-2	Duck meat IgG4
56252-0	Anguilla anguilla IgG4
56253-8	Egg white IgG4
56254-6	Egg yolk IgG4
56255-3	Egg whole IgG4
56256-1	Solanum melongena IgG4
56257-9	Plantago lanceolata IgG4
56258-7	Eucalyptus subspecies IgG4
5625-9	Cobalt; Blood
56259-5	(Chicken feather+Duck feather+Goose feather+Turkey feather) IgG4
56260-3	Solenopsis invicta IgG4
56261-1	Linum usitaTissueimum IgG4
56262-9	Ctenocephalides species IgG4
56263-7	Flounder IgG4
56264-5	Glycophagus domesticus IgG4
56265-2	Allium sativum IgG4
56266-0	Blatella germanica IgG4
5626-7	Cobalt; Hair
56267-8	Zingiber officinale IgG4
56268-6	Gluten IgG4
56269-4	Goat milk IgG4
56270-2	Hamster epithelium IgG4
56271-0	Solidago virgaurea IgG4
56272-8	Goose feather IgG4
56273-6	Vitis vinifera IgG4
56274-4	Citrus paradisis IgG4
5627-5	Cobalt
56275-1	Bean green IgG4
56276-9	Olive green IgG4
56277-7	Pisum sativum IgG4
56278-5	Pepper green IgG4
56279-3	Guinea pig epithelium IgG4
56280-1	Melanogrammus aeglefinus IgG4
56281-9	Hippoglossus hippoglossus IgG4
56282-7	Corylus avellana pollen IgG4
5628-3	Cobalt; Urine
56283-5	Corylus avellana IgG4
56284-3	Clupea harengus IgG4
56285-0	Honey IgG4
56286-8	Apis mellifera IgG4
56288-4	Humulus lupus IgG4
56289-2	Armoracia rusticana IgG4
562-9	Clostridium difficile
56290-0	House dust Greer IgG4
5629-1	Copper; Hair
56291-8	(Blatella germanica+Dermatophagoides farinae+Dermatophagoides pteronyssinus+House dust Hollister Stier) IgG4
56292-6	Insulin human IgG4
56293-4	Cupressus sempervirens IgG4
56294-2	Sorghum halepense IgG4
56295-9	Karaya gum IgG4
56296-7	Poa pratensis IgG4
56297-5	Bean kidney red IgG4
56298-3	Actinidia chinensis IgG4
56299-1	Kochia scoparia IgG4
56300-7	Lepidoglyphus destructor IgG4
56301-5	Lactalbumin alpha IgG4
56302-3	Beta lactoglobulin IgG4
56303-1	Chenopodium album IgG4
56304-9	Citrus limon IgG4
56305-6	Atriplex lentiformis IgG4
56306-4	Lens esculenta IgG4
56307-2	Lactuca sativa IgG4
56308-0	Phaseolus limensis IgG4
5630-9	Copper; RBC
56309-8	Citrus aurantifolia IgG4
56310-6	Homarus gammarus IgG4
56311-4	Locust tree IgG4
56312-2	Malt IgG4
56313-0	Mangifera indica IgG4
56314-8	Maple syrup IgG4
56315-5	Acer negundo IgG4
56316-3	Iva ciliata IgG4
5631-7	Copper
56317-1	Festuca elatior IgG4
56318-9	Alopercurus pratensis IgG4
56319-7	Melaleuca leucadendron IgG4
56320-5	Prosopis juliflora IgG4
56321-3	Panicum milliaceum IgG4
56322-1	Aedes communis IgG4
56323-9	Juniperus sabinoides IgG4
56324-7	Mucor racemosus IgG4
5632-5	Copper; Urine
56325-4	Artemisia vulgaris IgG4
56326-2	Agaricus hortensis IgG4
56327-0	Mytilus edulis IgG4
56328-8	Mustard IgG4
56329-6	Prunus persica var nucipersica IgG4
56330-4	Urtica dioica IgG4
56331-2	(Anacardium occidentale+Carya illinoinensis+Castanea sativa+Juglans spp+Pistacia vera) IgG4
56332-0	Nutmeg IgG4
5633-3	Copper; 24h Urine
56333-8	Avena sativa IgG4
56334-6	Avena sativa cultivated IgG4
56335-3	antibodyelmoschus esculentus IgG4
56336-1	Olea europaea pollen IgG4
56337-9	Allium cepa IgG4
56338-7	Citrus sinensis IgG4
56339-5	Dactylis glomerata IgG4
56340-3	Origanum vulgare IgG4
5634-1	Cyanide; Blood
56341-1	Chrysanthemum leucanthemum IgG4
56342-9	Ostrea edulis IgG4
56343-7	Carica papaya IgG4
56344-5	Polistes subspecies IgG4
56345-2	Capsicum annuum IgG4
56346-0	Cheese parmesan IgG4
56347-8	Parrot feather IgG4
56348-6	Petroselinum crispum IgG4
56349-4	Pastinaca sativa IgG4
56350-2	Prunus persica IgG4
56351-0	Arachis hypogaea IgG4
56352-8	Pyrus communis IgG4
56353-6	Carya illinoinensis nut IgG4
56354-4	Carya illinoinensis tree IgG4
56355-1	Penicillium notatum IgG4
56356-9	Perca subspecies IgG4
56357-7	Lolium perenne IgG4
5635-8	Cyanide
56358-5	Ananas comosus IgG4
56359-3	Bean pinto IgG4
56360-1	Pistacia vera IgG4
56361-9	Prunus domestica IgG4
56362-7	Papaver somniferum IgG4
56363-5	Insulin porcine IgG4
56364-3	Iva axillaris IgG4
56365-0	Syagrus romanzoffianum IgG4
5636-6	Cyanide; Tissue Unspecified
56366-8	Rabbit IgG4
56367-6	Rabbit epithelium IgG4
56368-4	Raphanus sativus IgG4
56369-2	FranSerumia acanthicarpa IgG4
563-7	Clostridium difficile
56370-0	Ambrosia trifida IgG4
56371-8	Ambrosia elatior IgG4
56372-6	Ambrosia psilostachya IgG4
56373-4	Rubus idaeus IgG4
5637-4	Cyanide; Urine
56374-2	Rat epithelium IgG4
56375-9	Beet red IgG4
56376-7	Snapper red IgG4
56377-5	Agrostis stolonifera IgG4
56378-3	Rheum subspecies IgG4
56379-1	Oryza sativa IgG4
56380-9	Salsola kali IgG4
56381-7	Secale cereale pollen IgG4
5638-2	Diazinon; Blood
56382-5	Carthamus tinctorius IgG4
56383-3	Salmo salar IgG4
56384-1	Sardina pilchardus IgG4
56385-8	Pecten subspecies IgG4
56386-6	Sesamum indicum IgG4
56387-4	Rumex acetosella IgG4
56388-2	Pandalus borealis IgG4
56389-0	Solea solea IgG4
5639-0	Ethanol; Blood
56390-8	Glycine max IgG4
56391-6	Spinacia oleracea IgG4
56392-4	Pigweed spiny IgG4
56393-2	Fragaria vesca IgG4
56394-0	Saccharum officinarum IgG4
56395-7	Helianthus annuus seed IgG4
56396-5	Castanea sativa IgG4
56397-3	Ipomoea batatas IgG4
56398-1	Anthoxanthum odoratum IgG4
56399-9	Cheese swiss IgG4
56400-5	Citrus reticulata IgG4
56401-3	Camellia sinensis IgG4
56402-1	Thymus vulgaris IgG4
56403-9	Phleum pratense IgG4
56404-7	Nicotiana tabacum IgG4
56405-4	Lycopersicon lycopersicum IgG4
56406-2	Trichoderma viride IgG4
56407-0	Oncorhynchus mykiss IgG4
5640-8	Ethanol; Blood
56408-8	Thunnus albacares IgG4
56409-6	Turkey IgG4
56410-4	Vanilla planifolia IgG4
56411-2	Holcus lanatus IgG4
56412-0	Venison IgG4
56413-8	Quercus virginiana IgG4
56414-6	Juglans subspecies IgG4
56415-3	Citrullus lanatus IgG4
5641-6	Ethanol; Breath
56416-1	Acnida tamariscina IgG4
56417-9	Triticum aestivum IgG4
56418-7	Triticum aestivum pollen IgG4
56419-5	Cow whey IgG4
56420-3	Fraxinus americana IgG4
56421-1	Bean white IgG4
56422-9	Betula populifolia IgG4
56423-7	Carya tomentosa IgG4
5642-4	Ethanol
56424-5	Dolichovespula maculata IgG4
56425-2	Morus alba IgG4
56426-0	Quercus alba IgG4
56427-8	Pinus strobus IgG4
56428-6	Populus alba IgG4
56429-4	Solanum tuberosum IgG4
56430-2	Whitefish IgG4
56431-0	Wine Vinegar IgG4
5643-2	Ethanol
56432-8	Artemisia absinthium IgG4
56433-6	Dolichovespula arenaria IgG4
56434-4	Vespula subspecies IgG4
56435-1	Yogurt IgG4
56436-9	Squash zucchini IgG4
56437-7	Chicken feather IgG4
56438-5	Beef IgG4
56439-3	Scomber japonicus IgG4
5644-0	Ethanol; Urine
56440-1	Syzygium aromaticum IgG4
56441-9	Latex IgG4
56442-7	Pork IgG4
56443-5	Secale cereale IgG4
56448-4	Chloride; Sweat
56449-2	Saccharomyces cerevisiae IgG4
564-5	Colony Count
56450-0	Piper nigrum IgG4
56451-8	Chymopapain IgG4
56452-6	Cottonseed IgG4
56453-4	Cow dander IgG4
56454-2	Cuminum cyminum IgG4
56455-9	Gelatin IgG4
56456-7	Horse dander IgG4
5645-7	Ethanol; Urine
56457-5	Lamb IgG4
56458-3	Acacia longifolia IgG4
56459-1	Ustilago avenae IgG4
56460-9	Schinus molle IgG4
56461-7	Alnus rubra IgG4
56462-5	Pepper red IgG4
56463-3	Pigweed rough IgG4
56464-1	Salvia officinalis IgG4
5646-5	Ethylene Glycol
56465-8	Distichlis spicata IgG4
56466-6	Xiphias gladius IgG4
56467-4	Tabanus subspecies IgG4
56468-2	Cucurbita pepo IgG4
56469-0	Cardiac heart disease risk
56470-8	Blasts; CSF
56471-6	Direct antiglobulin test complement C3c specific reagent; RBC
56472-4	Erythrocytes nucleated
5647-3	Ethylene Glycol; Urine
56473-2	Metamyelocytes; CSF
56474-0	Salmonella species
56475-7	Salmonella species
56477-3	Thyroperoxidase antibody
56478-1	Ethanol; Blood
56479-9	Superoxide dismutase; RBC
56480-7	Taenia solium larva antibody
5648-1	Fluoride; Blood
56481-5	Immunoglobulin light chains lambda free; Urine
56482-3	Insulin baseline
56483-1	Porphobilinogen; Stool
56484-9	Uroporphyrin; Stool
56485-6	Taenia solium antibody IgG
56486-4	Taenia solium antibody IgG
56487-2	Androsterone; Urine
56488-0	Etiocholanolone; Urine
56489-8	Acidity.titratable; Urine
56490-6	Hemoglobin gastrointestinal 2nd specimen; Stool
56491-4	Hemoglobin gastrointestinal 3rd specimen; Stool
56492-2	Insulin 6m post XXX challenge
56493-0	Lutropin 10m post XXX challenge
56494-8	Lutropin 2h post XXX challenge
56495-5	Lutropin 3h post XXX challenge
56496-3	Prolactin 2h post XXX challenge
56497-1	Choriogonadotropin beta subunit; Urine
56498-9	Androstenedione 30m post XXX challenge
5649-9	Fluoride
56499-7	Somatotropin 45m post XXX challenge
56500-2	Somatotropin 3h post XXX challenge
56501-0	Somatotropin 6h post XXX challenge
56502-8	Somatotropin 7h post XXX challenge
56503-6	Somatotropin 8h post XXX challenge
56504-4	Corticotropin 15m post XXX challenge; Plasma
56505-1	Corticotropin 45m post XXX challenge; Plasma
56506-9	Corticotropin 2h post XXX challenge; Plasma
5650-7	Fluoride; Urine
56507-7	Dehydroepiandrosterone sulfate 30m post XXX challenge
56508-5	Dehydroepiandrosterone sulfate 1h post XXX challenge
56510-1	Dehydroepiandrosterone 1h post XXX challenge
56511-9	Calcitonin 2m post XXX challenge
56512-7	Porphyrins; Stool
56513-5	Hepatitis E virus antibody IgG
56514-3	Legionella pneumophila antibody IgG
5651-5	Fluoride; 24h Urine
56515-0	Plasmodium falciparum antibody IgG
56516-8	C peptide 6m post XXX challenge
56517-6	11-Deoxycortisol 2h post XXX challenge
56518-4	11-Deoxycortisol 15m post XXX challenge
56519-2	11-Deoxycortisol 30m post XXX challenge
565-2	Colony Count
56520-0	11-Deoxycortisol 45m post XXX challenge
56521-8	11-Deoxycortisol 1.5h post XXX challenge
5652-3	Formaldehyde; Blood
56523-4	Insulin-Like growth factor-I 15m post XXX challenge
56524-2	Insulin-Like growth factor-I 45m post XXX challenge
56525-9	5-Hydroxytryptophan; Urine
56526-7	Somatotropin 30m post exercise
56527-5	Vasopressin 1h post XXX challenge; Plasma
56528-3	Androstenedione 20m post XXX challenge
56529-1	Ma+Ta antibody; CSF
56530-9	CV2 antibody; CSF
5653-1	Formaldehyde; Urine
56531-7	Amphiphysin antibody; CSF
56532-5	Asialoglycoprotein receptor antibody
56533-3	Insulin IgG
56534-1	Calcitonin 15m post XXX challenge
56535-8	8-Dehydrocholesterol
56536-6	Thyroglobulin antibody
56537-4	Tissue transglutaminase IgG
56538-2	Beta 2 glycoprotein 1 antibody
56539-0	Intrinsic factor antibody
56540-8	Glutamate decarboxylase 65 antibody
56541-6	Ganglioside GD1b IgG
56542-4	Ganglioside GD1b IgM; CSF
56543-2	Ganglioside GM2 IgG
56544-0	Ganglioside GM2 IgM
56545-7	Ganglioside GQ1b IgM
56546-5	Insulin antibody
56547-3	Tubular basement membrane IgG
56548-1	U1 small nuclear ribonucleoprotein IgG
5654-9	Gallium; Urine
56549-9	Sjogrens syndrome-A extractable nuclear 52kD antibody
56550-7	Purkinje cells type Tr antibody
56551-5	Purkinje cells type Tr antibody; CSF
56552-3	Dehydroepiandrosterone sulfate baseline
56553-1	Albumin; Urine
56554-9	Porphyrins; Stool
56555-6	11-Deoxycorticosterone baseline
5655-6	Germanium; Urine
56556-4	11-Deoxycorticosterone 30m post XXX challenge
56557-2	Renin 10m post XXX challenge; Plasma
56558-0	Aldosterone 10m post XXX challenge
56560-6	Somatotropin 4.5h post XXX challenge
56561-4	Somatotropin 5.5h post XXX challenge
56562-2	Somatotropin 6.5h post XXX challenge
56563-0	Somatotropin 7.5h post XXX challenge
5656-4	Gold; Blood
56564-8	Somatotropin 8h post XXX challenge
56565-5	Somatotropin 9h post XXX challenge
56566-3	Somatotropin 9.5h post XXX challenge
56567-1	Somatotropin 10h post XXX challenge
56568-9	Somatotropin 10.5h post XXX challenge
56569-7	Somatotropin 11h post XXX challenge
56570-5	Somatotropin 11.5h post XXX challenge
56571-3	Somatotropin post exercise
5657-2	Gold; CSF
56572-1	Somatotropin 20h post XXX challenge
56573-9	Renin 30m post XXX challenge; Plasma
56574-7	Renin 1h post XXX challenge; Plasma
56575-4	17-Hydroxyprogesterone 15m post XXX challenge
56576-2	17-Hydroxyprogesterone 45m post XXX challenge
56577-0	Renin 1.5h post XXX challenge; Plasma
56578-8	Aldosterone 1.5h post XXX challenge
56579-6	Aldosterone 20m post XXX challenge
5658-0	Gold; Hair
56580-4	Renin 20m post XXX challenge; Plasma
56581-2	Insulin 12m post XXX challenge
56582-0	C peptide 10m post XXX challenge
56583-8	C peptide 45m post XXX challenge
56584-6	C peptide 12m post XXX challenge
56585-3	Cortisol 45m post XXX challenge
56586-1	Dehydroepiandrosterone 15m post XXX challenge
56587-9	Dehydroepiandrosterone 30m post XXX challenge
56588-7	Dehydroepiandrosterone sulfate 45m post XXX challenge
56589-5	Dehydroepiandrosterone 1.5h post XXX challenge
56590-3	Dehydroepiandrosterone 2h post XXX challenge
56591-1	Dehydroepiandrosterone sulfate 3h post XXX challenge
56592-9	Follitropin 10m post XXX challenge
56593-7	Follitropin 3h post XXX challenge
56594-5	Thyrotropin 3h post XXX challenge
56595-2	Latex recombinant rHev b3 IgE
56596-0	Latex recombinant rHev b5 IgE
56597-8	Latex recombinant rHev b8 IgE
5659-8	Gold
56598-6	Epstein Barr virus early antibody IgM
56599-4	Epstein Barr virus capsid antibody IgM
566-0	Cryptosporidium species antigen
56600-0	Vespa crabro IgG
56601-8	Hyaluronate; Periton Fluid
56602-6	11-Deoxycorticosterone 1st specimen post XXX challenge
56603-4	11-Deoxycorticosterone 2nd specimen post XXX challenge
56604-2	11-Deoxycorticosterone 3rd specimen post XXX challenge
56605-9	11-Deoxycorticosterone 4th specimen post XXX challenge
5660-6	Gold; Urine
56608-3	11-Deoxycorticosterone 15m post XXX challenge
56609-1	11-Deoxycorticosterone 20m post XXX challenge
56610-9	11-Deoxycorticosterone 40m post XXX challenge
56611-7	11-Deoxycorticosterone 1.5h post XXX challenge
56612-5	11-Deoxycorticosterone 2h post XXX challenge
56613-3	11-Deoxycorticosterone 2.5h post XXX challenge
5661-4	Gold; 24h Urine
56614-1	17-Hydroxyprogesterone 10m post XXX challenge
56615-8	17-Hydroxyprogesterone 20m post XXX challenge
56616-6	17-Hydroxyprogesterone 1.5h post XXX challenge
56617-4	17-Hydroxyprogesterone 2h post XXX challenge
56618-2	Insulin-Like growth factor-I 10m post XXX challenge
56619-0	Insulin-Like growth factor-I 20m post XXX challenge
56620-8	Elastase antibody
56621-6	Coxsackievirus A9 antibody IgG
5662-2	Heavy Metals; Urine
56622-4	Echovirus antibody IgG
56623-2	Echovirus antibody IgM
56624-0	Fructose
56625-7	Methylene chloride; Blood
56626-5	Tetrachloroethylene; Blood
56627-3	Procollagen peptide type 3
56628-1	Amikacin
56629-9	Myelin antibody
5663-0	Heavy Metals Positive; Urine
56630-7	Brucella species antibody IgG
56631-5	Brucella species antibody IgM
56632-3	Mitochondria M2 IgG
56633-1	Myocardium IgG
56634-9	Nuclear IgG
56635-6	Thyroglobulin IgG
56636-4	Bordetella parapertussis antibody IgM
56637-2	Mi-2 antibody
56638-0	Rheumatoid arthritis nuclear antibody
56639-8	Methyl ethyl ketone; Urine
56640-6	Aspartate/Creatinine; Urine
56641-4	Threonine/Creatinine; Urine
56642-2	Serumine/Creatinine; Urine
56643-0	Asparagine/Creatinine; Urine
56644-8	Glutamate/Creatinine; Urine
56645-5	Vanillylmandelate/Creatine; Urine
56646-3	Trichloroacetate/Creatinine; Urine
